_id,album_genre,artist,lastfm_id,title,emotion,summary
ObjectId(5714dec325ac0d8aee380a70),Pop,A Fine Frenzy,TRBPEZO128F4299263,Rangers,relaxing,and the rangers streamwe are the rabbitsbut maybe we don't want to be foundand maybe we don't want to be found
ObjectId(5714dec325ac0d8aee380a73),Pop,A Fine Frenzy,TRATATB128F427C7F2,"Come On, Come Out",relaxing,watching the skyyou're watching a paintingcoming to lifeit all goes all goes by
ObjectId(5714dec325ac0d8aee380a75),Pop,A Fine Frenzy,TRLVGJF128F4299261,Whisper,relaxing,yeah you stay real closei will reach youi'm down to a whispercan you hear me still
ObjectId(5714dec325ac0d8aee380a76),Pop,A Fine Frenzy,TREYOJA128F4299262,You Picked Me,relaxing,is you blow me awayhiding out behind the leavesbut you picked meyeah you picked me
ObjectId(5714dec325ac0d8aee380a79),Pop,A Fine Frenzy,TRQVHMD128F4299265,Think Of You,relaxing,and i think of youi think of youyeah but you still pull me homebut i think of you
ObjectId(5714dec325ac0d8aee380a7a),Pop,A Fine Frenzy,TRXSKBA128F4299266,Ashes And Wine,sad,a reason to fightyou may change your mindbut is there a chancereduced to ashes and wine
ObjectId(5714dec325ac0d8aee380a7b),Pop,A Fine Frenzy,TRVAFUN128F4299267,"Liar, Liar",relaxing,it's sinking inoh oh the sirens sang so sweetoh oh you talk to me in siren songyeah anyone would drown
ObjectId(5714dec325ac0d8aee380a7c),Pop,A Fine Frenzy,TRPTNMS128F4299268,Last Of Days,relaxing,the world carries on without youi'll be lost without youplant it in the ground to warm your facei will wait for you
ObjectId(5714dec325ac0d8aee380a7d),Pop,A Fine Frenzy,TRVYXSL128F4299269,Lifesize,relaxing,we laid across the ocean widelarger than lifesize we becomewe smiled so bright the sun went downwe held the globe and made it turn
ObjectId(5714dec325ac0d8aee380a84),Pop,A Fine Frenzy,TRUJKVB128F932EBF2,What I Wouldn't Do,happy,if i had you babe i had youif i had you babeif i had you babe if i had youcause it was what i wouldn't do
ObjectId(5714dec325ac0d8aee380a85),Pop,A Fine Frenzy,TRLECNX128F932EBF5,New Heights,happy,oh we are reachingnew heights and seekinghow to keep them highand we are height and seeking
ObjectId(5714dec325ac0d8aee380a86),Pop,A Fine Frenzy,TRYHTOU128F932EBF9,Electric Twist,happy,but you give me the electric twistand it kicks and it kicks like a ponydon't thinkand true you might run away with it
ObjectId(5714dec325ac0d8aee380a88),Pop,A Fine Frenzy,TROLCCZ128F932EC00,Happier,relaxing,you'd like to convince me that i'll be better offso you go on and i'll be happierit's all to convince me that i'll be better offyou'll be gone and i'll be gone
ObjectId(5714dec325ac0d8aee380a89),Pop,A Fine Frenzy,TRXWNJW128F932EC02,Swan Song,relaxing,wretched look at me i've lost it melting on the tablei can't help it i love you like a starfish loves the salty waterand i said what i said and i meant itbut now i regret it
ObjectId(5714dec325ac0d8aee380a8a),Pop,A Fine Frenzy,TRQLQIR128F932EC07,Elements,sad,i left you in the cold until you shooki will turn the rooftop inside outand the wind will be wailingbut i will be sailing faster
ObjectId(5714dec325ac0d8aee380a8d),Pop,A Fine Frenzy,TRXBBBU128F932EC11,Stood Up,relaxing,and there are two of us there will be morethey'll show upcause we are not frightened anymoreand there are two of us there will be many more
ObjectId(5714dec325ac0d8aee380a8e),Pop,A Fine Frenzy,TRAADCQ128F932EC14,The Beacon,relaxing,burning beacon in the nightcan't feel its heat or see its lightit must get lonely there sometimesthe one that never found you
ObjectId(5714dec325ac0d8aee380fe6),Alternative Rock,A Perfect Circle,TRFYBQS128F146A5D9,The Hollow,sad,"run him like a blade to and through the heartscreaming ""feed me herepacify this hungering""pacify this"""
ObjectId(5714dec325ac0d8aee380fe7),Alternative Rock,A Perfect Circle,TRIXLSF128F146A5DA,Magdalena,romantic,and my self-esteem a dollar at a timethat i'd sell my soulmy self-esteem a dollar at a timeone taste of you my black madonna
ObjectId(5714dec325ac0d8aee380fed),Alternative Rock,A Perfect Circle,TRBEAGP128F146A5C2,Thomas,angry,show me the way to forgive youallow me to let it goallow me to be forgivenshow me the way to let go
ObjectId(5714dec325ac0d8aee380fef),Alternative Rock,A Perfect Circle,TRSBRGR128F146A5C4,Thinking Of You,romantic,tuggin' a beat to the sight of you lyingso delighted with a new understandingspent and sighin' with a look in your eyesspent and sweatin' with a look on your face like
ObjectId(5714dec325ac0d8aee380ff2),Alternative Rock,A Perfect Circle,TRNGQCW128F427B6E7,The Package,sad,lie to get just what i needlie and smile to get what's minelie to get what i need nowlie to smile and get what's mine
ObjectId(5714dec325ac0d8aee380ff4),Alternative Rock,A Perfect Circle,TRMOPJZ128F427B6EE,The Noose,sad,and not to pull your halo downaround your neck and tug you off your cloudhow you're plannin' to go about makin' your amendsaround your neck and tug you to the ground
ObjectId(5714dec325ac0d8aee380ff5),Alternative Rock,A Perfect Circle,TRNHGBH128F427B6F0,Blue,sad,such a lovely color for youwhile i just sit and stare at yousuch a perfect color for your eyesi don't want to know
ObjectId(5714dec325ac0d8aee380ff6),Alternative Rock,A Perfect Circle,TRMBRKN128F427B6F3,Vanishing,relaxing,higher higher into the airslowly disappearno no longer herenever really here
ObjectId(5714dec325ac0d8aee380ff8),Alternative Rock,A Perfect Circle,TROIXIC128F427B6F6,The Outsider,sad,lying to yourself again suicidal imbecilewhat'll it take to get it through to you precioussuch a mess why would i want to watch youi'm over this why do you wanna throw it away like this
ObjectId(5714dec325ac0d8aee380ffa),Alternative Rock,A Perfect Circle,TRGKAFQ128F427B6F8,The Nurse Who Loved Me,relaxing,say hello to the rug's topographyshe's falling hard for me i can see it in her eyesshe acts just like a nurse with all the other guysshe's got everything i need some pills in a little cup
ObjectId(5714dec325ac0d8aee380ffd),Alternative Rock,A Perfect Circle,TRIKSDU128F427B6FC,Gravity,relaxing,unable to just let this goto gravity and the unknownlift me back up to the suni choose to live
ObjectId(5714dec325ac0d8aee380ffe),Alternative Rock,A Perfect Circle,TRQQVBH128F4267DC4,Annihilation,sad,to arms productionfor the benefit of the nationor its destructionto hasten the nation
ObjectId(5714dec325ac0d8aee380fff),Alternative Rock,A Perfect Circle,TRUPCJS128F1468C83,Imagine,sad,imagine all the peoplebut i'm not the only onei hope someday you'll join usand the world will live as one
ObjectId(5714dec325ac0d8aee381001),Alternative Rock,A Perfect Circle,TRDJXLV128F4267DC8,What's Going On,relaxing,you know we've got to find a wayto bring some love in here todaytalk to me so you can seewhat's going on
ObjectId(5714dec325ac0d8aee381004),Alternative Rock,A Perfect Circle,TRDPHNF128F4267DCC,People Are People,relaxing,people are people so why should it beyou and i shouldn't get alongyou should hate mei can't understand
ObjectId(5714dec325ac0d8aee381006),Alternative Rock,A Perfect Circle,TREUREL128F4267DCF,Let's Have A War,romantic,there's so many of us there's so many of usthere's so manywe need the spacethe enemy's within
ObjectId(5714dec325ac0d8aee381009),Alternative Rock,A Perfect Circle,TRZPEVY128F4267DD3,Fiddle And The Drum,relaxing,and when i ask you whyoh my friend how did you comeand when we ask you whyyou raise your sticks and cry and we fall
ObjectId(5714dec325ac0d8aee381498),Hip Hop,A Tribe Called Quest,TRBDRIT128F42929A1,Get A Hold,relaxing,(drifting by)you know we gotta get a hold(suddenly) over the illest drum rolls(drifting by)you know we got to get control(suddenly)over the illest drum rolls
ObjectId(5714dec325ac0d8aee3814a0),Hip Hop,A Tribe Called Quest,TRTPJUZ128F42929A5,Keeping It Moving,relaxing,keep it movin yeah to the kimkeep it movin yeah yeah to the kimkeep it movin keep it movin yeah yeah to the kimkeep it movin true dat to the kim
